request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_52,23304.11,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Not safe to pay today; the full 28870 INR is forecast safe on 2024-06-14, so waiting is recommended over paying now."
request_53,569.39,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-13,none,Installment plan payment_option_145 (3 payments totaling 1767.18 USD) stays safely above the minimum balance throughout the forecast.
request_54,2064.79,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 121528 ZAR cannot be completed without breaching the minimum balance of 37000 ZAR, even with available spending flexibility."
request_55,126144.41,not_affordable,not_recommended,none,2026-08-13,none,"Not affordable within the 90-day forecast: the request of 218600 INR cannot be completed without breaching the minimum balance of 124300 INR, even with available spending flexibility."
request_56,627.58,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-15,none,Installment plan payment_option_155 (2 payments totaling 916.84 USD) stays safely above the minimum balance throughout the forecast.
request_57,12662.63,affordable_later,wait,2026-06-13:61446,2026-06-13,none,"Not safe to pay today; the full 61446 ZAR is forecast safe on 2026-06-13, so waiting is recommended over paying now."
request_58,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 16226000 IDR cannot be completed without breaching the minimum balance of 14433900 IDR, even with available spending flexibility."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Installment plan payment_option_163 (3 payments totaling 146223.99 INR) stays safely above the minimum balance throughout the forecast.
request_60,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 199.89 USD cannot be completed without breaching the minimum balance of 400 USD, even with available spending flexibility."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Installment plan payment_option_169 (3 payments totaling 30224.49 ZAR) stays safely above the minimum balance throughout the forecast.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Full payment of 404.23 USD today keeps the balance above the required minimum of 1300 USD throughout the 90-day forecast.
request_63,39906.07,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 343900 INR cannot be completed without breaching the minimum balance of 153500 INR, even with available spending flexibility."
request_64,42719.35,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-07-14,none,Installment plan payment_option_177 (3 payments totaling 66248.01 INR) stays safely above the minimum balance throughout the forecast.
request_65,7091.11,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 54340 ZAR cannot be completed without breaching the minimum balance of 15500 ZAR, even with available spending flexibility."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Full payment of 22200 INR today keeps the balance above the required minimum of 80700 INR throughout the 90-day forecast.
request_67,274.95,affordable_later,wait,2024-11-16:2094,2024-11-16,none,"Not safe to pay today; the full 2094 USD is forecast safe on 2024-11-16, so waiting is recommended over paying now."
request_68,1455.49,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-16,none,Installment plan payment_option_187 (3 payments totaling 2175.27 USD) stays safely above the minimum balance throughout the forecast.
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Full payment of 529.10 EUR today keeps the balance above the required minimum of 700 EUR throughout the 90-day forecast.
request_70,49509.35,affordable_later,wait,2025-02-16:243900,2025-02-16,none,"Not safe to pay today; the full 243900 INR is forecast safe on 2025-02-16, so waiting is recommended over paying now."
request_71,76296.58,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 21451000 IDR cannot be completed without breaching the minimum balance of 8884800 IDR, even with available spending flexibility."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Full payment of 11330 ZAR today keeps the balance above the required minimum of 12200 ZAR throughout the 90-day forecast.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Full payment of 71400 INR today keeps the balance above the required minimum of 103200 INR throughout the 90-day forecast.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Full payment of 5010 ZAR today keeps the balance above the required minimum of 21900 ZAR throughout the 90-day forecast.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Installment plan payment_option_208 (3 payments totaling 29400.81 ZAR) stays safely above the minimum balance throughout the forecast.
request_76,986.93,not_affordable,not_recommended,none,2024-06-29,none,"Not affordable within the 90-day forecast: the request of 4455.60 USD cannot be completed without breaching the minimum balance of 1800 USD, even with available spending flexibility."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Full payment of 60700 INR today keeps the balance above the required minimum of 82200 INR throughout the 90-day forecast.
request_78,45247.51,affordable_later,wait,2025-10-16:50200,2025-10-16,none,"Not safe to pay today; the full 50200 INR is forecast safe on 2025-10-16, so waiting is recommended over paying now."
request_79,551.57,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 2151.60 EUR cannot be completed without breaching the minimum balance of 1000 EUR, even with available spending flexibility."
request_80,111187.01,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 217500 INR cannot be completed without breaching the minimum balance of 121300 INR, even with available spending flexibility."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Full payment of 2076 USD today keeps the balance above the required minimum of 1600 USD throughout the 90-day forecast.
request_82,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1405.20 USD cannot be completed without breaching the minimum balance of 1100 USD, even with available spending flexibility."
request_83,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 156200 INR cannot be completed without breaching the minimum balance of 37800 INR, even with available spending flexibility."
request_84,28786.76,affordable_later,wait,2026-06-13:95400,2026-06-13,none,"Not safe to pay today; the full 95400 INR is forecast safe on 2026-06-13, so waiting is recommended over paying now."
request_85,374850.56,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 19304000 IDR cannot be completed without breaching the minimum balance of 6396300 IDR, even with available spending flexibility."
request_86,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 46300 INR cannot be completed without breaching the minimum balance of 84900 INR, even with available spending flexibility."
request_87,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 487900 INR cannot be completed without breaching the minimum balance of 185900 INR, even with available spending flexibility."
request_88,10497.62,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,Installment plan payment_option_245 (3 payments totaling 27135.69 ZAR) stays safely above the minimum balance throughout the forecast.
request_89,9204038.10,not_affordable,not_recommended,none,2026-01-16,none,"Not affordable within the 90-day forecast: the request of 13756000 IDR cannot be completed without breaching the minimum balance of 12534700 IDR, even with available spending flexibility."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Full payment of 2560 ZAR today keeps the balance above the required minimum of 7600 ZAR throughout the 90-day forecast.
request_91,455.10,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1927.20 EUR cannot be completed without breaching the minimum balance of 2100 EUR, even with available spending flexibility."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Full payment of 34034 ZAR today keeps the balance above the required minimum of 28100 ZAR throughout the 90-day forecast.
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,Full payment of 1729.20 USD today keeps the balance above the required minimum of 1900 USD throughout the 90-day forecast.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Full payment of 572 EUR today keeps the balance above the required minimum of 600 EUR throughout the 90-day forecast.
request_95,35006.78,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 553000 INR cannot be completed without breaching the minimum balance of 145500 INR, even with available spending flexibility."
request_96,74311.34,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-14,none,Installment plan payment_option_269 (3 payments totaling 93807.99 INR) stays safely above the minimum balance throughout the forecast.
request_97,1833.87,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,Installment plan payment_option_272 (3 payments totaling 24435.84 ZAR) stays safely above the minimum balance throughout the forecast.
request_98,7761.28,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 27148 ZAR cannot be completed without breaching the minimum balance of 30000 ZAR, even with available spending flexibility."
request_99,16907.70,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"Full payment becomes safe after adjusting flexible spending (reduce to dining), freeing enough to stay above the 49100 ZAR minimum."
request_100,25889.56,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,Installment plan payment_option_281 (3 payments totaling 38598.57 ZAR) stays safely above the minimum balance throughout the forecast.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Full payment of 143500 INR today keeps the balance above the required minimum of 187400 INR throughout the 90-day forecast.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Installment plan payment_option_287 (3 payments totaling 1784.64 EUR) stays safely above the minimum balance throughout the forecast.
request_103,7821.76,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 368300 INR cannot be completed without breaching the minimum balance of 125500 INR, even with available spending flexibility."
request_104,13425.90,affordable_later,wait,2025-04-15:17204,2025-04-15,none,"Not safe to pay today; the full 17204 ZAR is forecast safe on 2025-04-15, so waiting is recommended over paying now."
request_105,51553.55,affordable_later,wait,2026-06-14:53500,2026-06-14,none,"Not safe to pay today; the full 53500 INR is forecast safe on 2026-06-14, so waiting is recommended over paying now."
request_106,440.12,affordable_later,wait,2025-02-16:2207.70,2025-02-16,none,"Not safe to pay today; the full 2207.70 EUR is forecast safe on 2025-02-16, so waiting is recommended over paying now."
request_107,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 2534.40 EUR cannot be completed without breaching the minimum balance of 1600 EUR, even with available spending flexibility."
request_108,3835.72,affordable_later,wait,2026-09-13:55308,2026-09-13,none,"Not safe to pay today; the full 55308 ZAR is forecast safe on 2026-09-13, so waiting is recommended over paying now."
request_109,557.36,not_affordable,not_recommended,none,2024-05-16,none,"Not affordable within the 90-day forecast: the request of 1863.40 EUR cannot be completed without breaching the minimum balance of 1700 EUR, even with available spending flexibility."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,Installment plan payment_option_310 (3 payments totaling 23246.07 ZAR) stays safely above the minimum balance throughout the forecast.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Full payment of 16625000 IDR today keeps the balance above the required minimum of 23022800 IDR throughout the 90-day forecast.
request_112,257.04,affordable_with_plan,full_payment,2024-06-05:271.70,2024-08-13,reduce_to:event_10400:13,"Full payment becomes safe after adjusting flexible spending (reduce to dining), freeing enough to stay above the 500 EUR minimum."
request_113,18240.99,affordable_later,wait,2026-10-14:36500,2026-10-14,none,"Not safe to pay today; the full 36500 INR is forecast safe on 2026-10-14, so waiting is recommended over paying now."
request_114,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 65300 INR cannot be completed without breaching the minimum balance of 113400 INR, even with available spending flexibility."
request_115,14552.20,affordable_later,wait,2024-11-13:80500,2024-11-13,none,"Not safe to pay today; the full 80500 INR is forecast safe on 2024-11-13, so waiting is recommended over paying now."
request_116,7922.73,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 241200 INR cannot be completed without breaching the minimum balance of 80300 INR, even with available spending flexibility."
request_117,848.69,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,reduce_to:event_10878:20.50|stop:event_10833,"Full payment becomes safe after adjusting flexible spending (reduce to dining, stop streaming), freeing enough to stay above the 1000 EUR minimum."
request_118,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 738.10 EUR cannot be completed without breaching the minimum balance of 600 EUR, even with available spending flexibility."
request_119,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 203500 INR cannot be completed without breaching the minimum balance of 151200 INR, even with available spending flexibility."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Full payment of 7714000 IDR today keeps the balance above the required minimum of 20050300 IDR throughout the 90-day forecast.
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Full payment of 633.60 USD today keeps the balance above the required minimum of 800 USD throughout the 90-day forecast.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,Installment plan payment_option_347 (3 payments totaling 21380319.99 IDR) stays safely above the minimum balance throughout the forecast.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Full payment of 4076000 IDR today keeps the balance above the required minimum of 18091200 IDR throughout the 90-day forecast.
request_124,1406.49,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-16,none,Installment plan payment_option_352 (3 payments totaling 3228.36 EUR) stays safely above the minimum balance throughout the forecast.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Full payment of 6468 ZAR today keeps the balance above the required minimum of 11300 ZAR throughout the 90-day forecast.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Full payment of 159600 INR today keeps the balance above the required minimum of 129700 INR throughout the 90-day forecast.
request_127,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 23980 ZAR cannot be completed without breaching the minimum balance of 41000 ZAR, even with available spending flexibility."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Full payment of 25168 ZAR today keeps the balance above the required minimum of 42600 ZAR throughout the 90-day forecast.
request_129,110.47,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 2668.80 USD cannot be completed without breaching the minimum balance of 800 USD, even with available spending flexibility."
request_130,401.74,affordable_later,wait,2025-02-16:1978.80,2025-02-16,none,"Not safe to pay today; the full 1978.80 USD is forecast safe on 2025-02-16, so waiting is recommended over paying now."
request_131,1338.56,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-16,none,Installment plan payment_option_372 (3 payments totaling 1929.42 USD) stays safely above the minimum balance throughout the forecast.
request_132,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 379.86 USD cannot be completed without breaching the minimum balance of 1100 USD, even with available spending flexibility."
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,"Not affordable within the 90-day forecast: the request of 15770000 IDR cannot be completed without breaching the minimum balance of 9986200 IDR, even with available spending flexibility."
request_134,4469014.82,affordable_later,wait,2025-10-16:21831000,2025-10-16,none,"Not safe to pay today; the full 21831000 IDR is forecast safe on 2025-10-16, so waiting is recommended over paying now."
request_135,272.61,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413|reduce_to:event_12458:17.50,"Full payment becomes safe after adjusting flexible spending (stop streaming, reduce to dining), freeing enough to stay above the 500 USD minimum."
request_136,495.01,affordable_later,wait,2024-06-15:560.40,2024-06-15,none,"Not safe to pay today; the full 560.40 USD is forecast safe on 2024-06-15, so waiting is recommended over paying now."
request_137,24928.90,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 80100 INR cannot be completed without breaching the minimum balance of 71800 INR, even with available spending flexibility."
request_138,1023.98,affordable_with_plan,partial_payment,2026-04-07:1023.98|2026-04-14:232.96,2026-04-14,none,Paying 1023.98 EUR today and the remaining 232.96 EUR on 2026-04-14 keeps the balance safe throughout the forecast while completing the request by 2026-06-05.
request_139,1827.31,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,Installment plan payment_option_395 (3 payments totaling 2408.64 USD) stays safely above the minimum balance throughout the forecast.
request_140,1607.98,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 62832 ZAR cannot be completed without breaching the minimum balance of 21600 ZAR, even with available spending flexibility."
request_141,17785,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 171600 INR cannot be completed without breaching the minimum balance of 67300 INR, even with available spending flexibility."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,Full payment of 1263.60 USD today keeps the balance above the required minimum of 1700 USD throughout the 90-day forecast.
request_143,2383.22,affordable_later,wait,2025-07-17:12584,2025-07-17,none,"Not safe to pay today; the full 12584 ZAR is forecast safe on 2025-07-17, so waiting is recommended over paying now."
request_144,224.11,affordable_later,wait,2026-07-16:233.34,2026-07-16,none,"Not safe to pay today; the full 233.34 USD is forecast safe on 2026-07-16, so waiting is recommended over paying now."
request_145,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 217400 INR cannot be completed without breaching the minimum balance of 155400 INR, even with available spending flexibility."
request_146,11567.19,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 449400 INR cannot be completed without breaching the minimum balance of 108600 INR, even with available spending flexibility."
request_147,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1129.70 EUR cannot be completed without breaching the minimum balance of 900 EUR, even with available spending flexibility."
request_148,7645.04,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-07-14,none,Installment plan payment_option_421 (3 payments totaling 23131.68 ZAR) stays safely above the minimum balance throughout the forecast.
request_149,24505.67,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-16,none,Installment plan payment_option_424 (3 payments totaling 38118.09 ZAR) stays safely above the minimum balance throughout the forecast.
request_150,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 496.10 EUR cannot be completed without breaching the minimum balance of 700 EUR, even with available spending flexibility."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Full payment of 26999000 IDR today keeps the balance above the required minimum of 31633600 IDR throughout the 90-day forecast.
request_152,11857.81,not_affordable,not_recommended,none,2025-04-15,none,"Not affordable within the 90-day forecast: the request of 13882 ZAR cannot be completed without breaching the minimum balance of 11900 ZAR, even with available spending flexibility."
request_153,10.62,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 2830.80 USD cannot be completed without breaching the minimum balance of 1400 USD, even with available spending flexibility."
request_154,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1625.80 EUR cannot be completed without breaching the minimum balance of 1300 EUR, even with available spending flexibility."
request_155,13728.38,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 112500 INR cannot be completed without breaching the minimum balance of 56300 INR, even with available spending flexibility."
request_156,9328.11,affordable_later,wait,2026-06-13:43076,2026-06-13,none,"Not safe to pay today; the full 43076 ZAR is forecast safe on 2026-06-13, so waiting is recommended over paying now."
request_157,4352610.76,affordable_later,wait,2024-05-18:23503000,2024-05-18,none,"Not safe to pay today; the full 23503000 IDR is forecast safe on 2024-05-18, so waiting is recommended over paying now."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,Installment plan payment_option_449 (3 payments totaling 252303.99 INR) stays safely above the minimum balance throughout the forecast.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Full payment of 13398 ZAR today keeps the balance above the required minimum of 8700 ZAR throughout the 90-day forecast.
request_160,574.47,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-14,none,Installment plan payment_option_454 (3 payments totaling 1296.15 EUR) stays safely above the minimum balance throughout the forecast.
request_161,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 21204000 IDR cannot be completed without breaching the minimum balance of 23010400 IDR, even with available spending flexibility."
request_162,1143280.83,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 83923000 IDR cannot be completed without breaching the minimum balance of 24161100 IDR, even with available spending flexibility."
request_163,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 19304000 IDR cannot be completed without breaching the minimum balance of 26728700 IDR, even with available spending flexibility."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,Installment plan payment_option_465 (3 payments totaling 28098720 IDR) stays safely above the minimum balance throughout the forecast.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Full payment of 80600 INR today keeps the balance above the required minimum of 95000 INR throughout the 90-day forecast.
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,Installment plan payment_option_471 (3 payments totaling 3023.91 USD) stays safely above the minimum balance throughout the forecast.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Full payment of 43802 ZAR today keeps the balance above the required minimum of 31200 ZAR throughout the 90-day forecast.
request_168,0,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 49380 INR cannot be completed without breaching the minimum balance of 114400 INR, even with available spending flexibility."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Full payment of 41976 ZAR today keeps the balance above the required minimum of 18700 ZAR throughout the 90-day forecast.
request_170,31526595.98,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-13,none,Installment plan payment_option_483 (3 payments totaling 38413440 IDR) stays safely above the minimum balance throughout the forecast.
request_171,30.56,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 1878.80 EUR cannot be completed without breaching the minimum balance of 500 EUR, even with available spending flexibility."
request_172,10200,affordable_with_plan,installments,2024-06-05:5304|2024-07-03:5304,2024-06-05,none,Installment plan payment_option_489 (2 payments totaling 10608 ZAR) stays safely above the minimum balance throughout the forecast.
request_173,62254.99,not_affordable,not_recommended,none,,none,"Not affordable within the 90-day forecast: the request of 113000 INR cannot be completed without breaching the minimum balance of 79100 INR, even with available spending flexibility."
request_174,1146.20,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Installment plan payment_option_494 (3 payments totaling 1192.05 EUR) stays safely above the minimum balance throughout the forecast.
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,Full payment of 2346.30 EUR today keeps the balance above the required minimum of 1700 EUR throughout the 90-day forecast.
